ReqID,Core,WCLatency,Arrival_Time,Finish_Time
12377,2,342,143605,143947
12430,3,353,143709,144062
12342,0,456,143718,144174
12282,1,456,143833,144289
12402,2,456,143947,144403
12346,0,456,144174,144630
12306,1,456,144289,144745
12470,2,456,144403,144859
12583,3,7,144881,144888
12407,0,342,144630,144972
12310,1,342,144745,145087
12536,2,342,144859,145201
12417,0,342,144972,145314
12339,1,342,145087,145429
12586,2,342,145201,145543
12638,3,456,145201,145657
12541,0,456,145314,145770
12400,1,456,145429,145885
12663,2,456,145543,145999
12646,3,456,145657,146113
12551,0,456,145770,146226
12445,1,456,145885,146341
12699,2,456,145999,146455
12651,3,456,146113,146569
12526,1,456,146341,146797
12728,2,456,146455,146911
12655,3,456,146569,147025
12531,1,342,146797,147139
12776,2,342,146911,147253
12659,3,342,147025,147367
12559,1,342,147139,147481
12799,2,342,147253,147595
12662,3,342,147367,147709
12679,1,342,147481,147823
12824,2,342,147595,147937
12717,3,342,147709,148051
12726,1,342,147823,148165
12846,2,342,147937,148279
12721,3,342,148051,148393
12758,1,342,148165,148507
12873,2,342,148279,148621
12750,3,342,148393,148735
12762,1,342,148507,148849
12907,2,342,148621,148963
12815,3,342,148735,149077
12796,1,342,148849,149191
12946,2,342,148963,149305
12843,3,342,149077,149419
12844,1,342,149191,149533
12997,2,342,149305,149647
12862,3,342,149419,149761
12871,1,342,149533,149875
13039,2,342,149647,149989
12866,3,342,149761,150103
12931,1,342,149875,150217
13074,2,342,149989,150331
12889,3,342,150103,150445
13092,1,342,150217,150559
13108,2,342,150331,150673
12968,3,342,150445,150787
13126,1,342,150559,150901
13143,2,342,150673,151015
13020,3,342,150787,151129
13161,1,342,150901,151243
13178,2,342,151015,151357
13062,3,342,151129,151471
13196,1,342,151243,151585
13212,2,342,151357,151699
13066,3,342,151471,151813
13236,1,342,151585,151927
13252,2,342,151699,152041
13090,3,342,151813,152155
13271,1,342,151927,152269
13287,2,342,152041,152383
13159,3,342,152155,152497
13305,1,342,152269,152611
13322,2,342,152383,152725
